bestFSAccuracy,NoOfAttributes,bestSelect
0.9777777777777779,9,8 0 7 11 9 10 6 4 3 
0.9776190476190477,8,7 6 12 3 2 4 0 9 
0.9833333333333334,8,9 7 6 4 2 3 0 12 
0.9722222222222221,8,7 11 3 2 4 0 10 12 
0.9888888888888889,10,3 2 7 6 4 9 8 12 1 0 
