bestFSAccuracy,NoOfAttributes,bestSelect
0.8587677725118482,19,35 28 37 32 36 0 3 2 31 5 8 13 21 20 1 7 25 27 39 
0.8644549763033176,19,4 3 14 40 16 32 34 8 23 2 35 17 33 39 11 30 0 25 27 
0.8625592417061612,23,24 15 20 36 18 3 35 7 2 28 10 0 5 8 6 22 27 39 29 19 30 31 23 
0.8578199052132701,22,2 18 0 17 20 12 15 33 31 22 4 34 27 24 32 37 39 6 19 8 26 38 
0.8597156398104266,18,40 29 19 34 35 21 22 10 5 0 6 31 23 33 3 1 20 18 
