bestFSAccuracy,NoOfAttributes,bestSelect
0.9701288619779538,12,26 1 28 20 11 24 19 13 21 18 14 9 
0.968421052631579,7,18 14 17 23 4 28 21 
0.9736531594472908,11,16 28 18 8 29 23 14 17 1 21 26 
0.9701443875174662,8,21 27 23 12 18 14 10 1 
0.9718987734823784,8,13 26 3 4 8 1 11 21 
