bestFSAccuracy,NoOfAttributes,bestSelect
0.8663507109004739,29,9 2 15 37 5 24 0 19 22 11 1 39 3 4 30 8 25 18 40 21 31 16 33 36 13 20 23 17 7 
0.8606635071090046,29,5 18 29 1 24 27 30 32 20 28 9 37 0 34 12 36 33 8 10 17 11 2 19 21 3 40 6 13 15 
0.8701421800947868,29,15 37 8 26 1 24 25 40 39 20 31 35 30 33 10 36 27 18 11 19 3 4 5 13 38 9 7 6 0 
0.8635071090047394,29,8 10 20 19 21 36 24 18 37 35 9 3 1 33 28 26 22 32 39 13 5 6 25 11 2 15 30 4 40 
0.8644549763033176,30,30 39 25 15 11 8 3 40 18 28 13 5 33 21 4 19 20 23 36 10 2 1 29 17 0 27 9 31 7 24 
