bestFSAccuracy,NoOfAttributes,bestSelect
0.9781192151055166,19,29 25 8 2 20 33 24 27 23 22 12 7 1 31 0 3 14 4 30 
0.9672343576453166,19,10 24 19 23 3 6 26 27 22 29 31 16 18 25 0 13 14 33 4 
0.9617919289152166,19,22 24 3 33 13 1 21 0 16 31 28 20 25 17 30 14 12 10 4 
0.9673084042947057,17,2 1 29 10 14 8 30 33 27 18 31 28 3 4 0 25 12 
0.9673084042947057,19,7 25 0 1 2 8 18 11 29 28 31 27 21 3 4 16 20 17 14 
